연번,업소명,소  재  지,연락처,객실수,한실,양실,Twin Bed,일반호텔
1,레인모텔,중구 공평로 94(동인동1가),257-2009,21,0,21,0,
2,리버틴호텔,중구 경상감영길 193(동문동),269-4000,53,0,36,17,일반호텔
3,B2모텔,,,,,,,
4,허니문모텔,중구 달성로21길 21,554-1228,32,2,30,0,
5,피아노호텔,중구 서성로 102-6,426-6969,35,0,31,4,
6,사보이호텔,중구 종로 76,253-8021,35,0,32,3,
7,쿡모텔,중구 경상감영1길 60,254-4813,42,0,42,0,
8,헤븐스토리호텔,중구 경상감영1길 65,428-6768,29,0,29,0,
9,뉴-젠모텔,중구 동덕로 195,255-8850,35,2,30,3,
10,투엑스호텔,중구 공평로20길51-28,423-4231,36,0,33,3,일반호텔
11,아리온모텔,중구 국채보상로 570-9,255-0088,32,0,32,0,
12,엠티엠모텔,중구 공평로8길 30-6,426-2000,61,0,60,1,
13,피크니크호텔,중구 공평로8길 40,427-2414,56,0,43,13,
14,에오스호텔,중구 중앙대로 81길 22,422-8087,58,0,53,5,일반호텔
15,갤러리,중구 북성로 106-6,428-2121,45,0,37,8,일반호텔
16,젠모텔,중구 태평로 139-8,428-6002,36,0,34,2,
17,2월호텔 동성로점,중구 중앙대로 81길 13,257-9898,80,0,63,17,일반호텔
18,그랜드모텔,동구 갓바위로 246-5(능성동),986-1173,22,0,22,0,
19,융프라우모텔,동구 동촌로 80,981-0332,19,0,19,0,
20,린비아토,동구 해동로 200,981-1909,44,0,44,0,
21,헤라모텔,동구 신암남로 136,958-2200,47,0,43,4,
22,인더호텔,동구 동부로26길 56,746-0108,51,1,50,0,일반호텔
23,브라운호텔,동구 동부로30길 100-6,744-0960,40,0,40,0,
24,바운스모텔,동구 동부로22길 73,744-8917,36,6,30,0,
25,리더스모텔,동구 동부로26길 38,752-7272,40,2,34,4,
26,히포스모텔,동구 동부로26길 19,746-5401,32,2,28,2,
27,아바모텔,동구 장등로78,741-0041,28,2,26,0,
28,소호모텔,동구 아양로324,985-5202,24,3,21,0,
29,모텔탑,,,,,,,
30,팔라지오모텔,동구 팔공로101길 10,983-3130,20,2,18,0,
31,부디자인호텔,동구 팔공로 525,984-0033,22,0,22,0,일반호텔
32,알토모텔,동구 효동로6길 32,958-4111,55,3,50,2,
33,윈모텔,동구 신암남로 128,953-4531,31,2,29,0,
34,러브웨이,동구 신암남로 24길 11,958-3473,28,2,26,0,
35,미라지모텔,동구 동부로22길 38,751-0018,40,2,38,0,
36,호텔포레스트701,동구 동부로22길 86,756-8903,64,0,44,20,일반호텔
37,런던모텔,동구 동부로30길 100-1,756-8577,35,1,34,0,
38,첼로모텔,동구 동부로26길 46-1,751-4646,30,2,28,0,
39,레인,동구 동부로26길 42,744-2578,36,7,29,0,
40,뉴욕모텔,동구 동부로26길 45,754-1345,36,3,33,0,
41,10번가모텔,동구 동부로28길 50,746-5244,36,0,34,2,
42,레지던트알모텔,동구 동부로26길 61,743-6538,28,0,28,0,
43,호텔투하트,동구 동부로26길 63,754-6331,38,0,38,0,
44,이시아호텔,동구 팔공로47길 38,982-7424,43,0,43,0,일반호텔
45,칸모텔,동구 신암남로24길 17-14,942-3400,46,0,46,0,
46,호텔에이치,동구 동부로26길 59,755-8090,34,0,32,2,
47,아바플러스모텔,동구 동부로26길 46,756-3651,44,0,40,4,
48,아시아,동구 동부로 22길 75-1,742-0550,41,0,33,8,일반호텔
49,앤모텔,동구 신암남로 92,243-3535,29,0,29,0,
50,스테이22호텔,동구 동부로 22길 37(신천동),754-9662,40,1,39,0,
51,플레이22호텔,동구 동부로 22길 35(신천동),753-9551,40,1,39,0,
52,더블유에스,동구 율암로 156-22,964-5659,45,0,41,4,
53,오투호텔,,,,,,,
54,모텔마이더스,서구 서대구로 370-1(비산동),354-9055,35,2,30,3,
55,모텔라스베가스,서구 팔달로18길 7(비산동),354-7954,36,0,32,4,
56,파라다이스모텔,서구 서대구로 359-13(비산동),358-3883,35,1,31,3,
57,프라자모텔,서구 평리로62길 47(내당동),525-2571,35,1,31,3,
58,모텔제이,서구 국채보상로42길 4(평리동),557-1717,31,1,28,2,
59,스페셜모텔,서구 국채보상로42길 7(평리동),553-0009,32,0,28,4,
60,식스나인모텔,서구 서대구로25길 5(평리동),527-6969,28,0,28,0,
61,시안모텔,서구 서대구로 117(평리동),522-0900,40,0,35,5,
62,그랜드모텔,서구 국채보상로46길 18(평리동),558-9408,24,1,22,1,
63,러시모텔,서구 서대구로 167(평리동),554-6677,37,4,32,1,
64,호텔여기어때,서구 달서로 151(비산동),557-5667,50,0,45,5,일반호텔
65,와자자,남구 현충로 262(대명동),625-1474,25,0,25,0,
66,더블점뉴욕모텔,남구 명덕로 266(이천동),476-3040,30,2,28,0,
67,스타모텔,남구 이천로69(봉덕동),474-7680,40,3,35,2,
68,마이더스모텔,남구 대덕로 184(봉덕동),471-0663,40,0,40,0,
69,요요모텔,남구 봉덕로2길7(봉덕동),474-7420,33,0,31,2,
70,야크모텔,남구 현충로156(대명동),621-4009,17,0,17,0,
71,대구힐탑호텔,남구 두류공원로 97(대명동),651-9700,70,3,37,30,일반호텔
72,앞산비즈니스호텔,남구 현충로 148(대명동),625-8118,36,0,30,6,일반호텔
73,2월호텔앞산점,남구 대명로 235(대명동),626-7001,35,0,31,4,일반호텔
74,케이(K)모텔,남구 대명로 317(대명동),627-5858,44,6,38,0,
75,앤모텔,,,,,,,
76,나인아워시(9th) 부띠끄모텔,남구 명덕로120(대명동),629-0007,26,0,25,1,
77,무이호텔,남구 명덕로 38(대명동),624-4667,29,1,26,2,
78,리드모텔,북구 유통단지로13길 3-11(산격동),381-0050,26,0,23,3,
79,시크릿모텔,북구 대구체육관로2(산격동),,27,0,27,0,
80,원갤러리,북구 유통단지로13길 13-5(산격동),381-1704,78,0,39,39,
81,글로리아모텔,북구 유통단지로13길 13-9(산격동),384-8080,61,7,32,22,
82,에코코퍼레이션,북구 대구체육관로 34(산격동),945-0555,20,5,14,1,
83,컨벤션모텔,북구 유통단지로8길 86(산격로),382-1002,50,10,31,9,
84,프랜즈모텔,북구 대현로 50 (대현동),951-0770,18,0,18,0,
85,더블유(W)모텔,북구 대현로 32(대현동),957-4005,27,0,27,0,
86,꼬모모텔,북구 대학로 140(복현동),941-3983,36,0,34,2,
87,칸모텔,북구 칠곡중앙대로207 (태전동),312-3343,33,1,31,1,
88,투썸모텔,북구 칠곡중앙대로46길 9(태전동),325-5279,27,0,27,0,
89,타임모텔,북구 동천로138-18(동천동),325-9783,36,0,31,5,
90,호텔노스텔,북구 동천로128-12(동천동),322-0055,44,0,38,6,일반호텔
91,베네치아,북구 호국로239(서천동),958-0540,36,2,34,0,
92,마이더스,북구 동암로12길 24-20(동천동),351-8888,61,1,52,8,일반호텔
93,호텔아싸,북구 동천로23길 30-9,323-0333,39,0,37,2,일반호텔
94,라인모텔,북구 대현로 92-1,213-3355,30,0,29,1,
95,소후102호텔,북구 학정로9길 10(태전동),311-0880,36,0,36,0,일반호텔
96,로미오,수성구 청수로26길8(두산동),764-3800,35,0,30,5,
97,제이비프리미엄호텔,수성구 청수로26길64(두산동),768-2202,35,0,32,3,일반호텔
98,마이더스호텔,수성구 상록로4(범어동),752-6270,40,3,31,6,일반호텔
99,폭스모텔,수성구 청수로126-36(두산동),763-1226,40,0,40,0,
100,렉스,수성구 동대구로25길 22(황금동),763-1137,38,0,38,0,
101,TALK,수성구 청수로25길16(황금동),761-7712,37,0,35,2,
102,오투모텔,수성구 동대구로 15(두산동),765-6301,25,3,22,0,
103,젠모텔,수성구 상화로 131-15(두산동),766-7700,31,1,24,6,
104,수성스테이,수성구 용학로25길 16(두산동),781-3366,30,0,30,0,
105,힙모텔,수성구 청수로24길 87(두산동),768-6660,27,0,25,2,
106,제이모텔,수성구 수성로 18(상동),768-1400,14,0,14,0,
107,체리시호텔,수성구 동대구로25길 37(황금동),766-1121,37,0,37,0,일반호텔
108,탑365,,,,,,,
109,대가야모텔,수성구 동대구로25길 25(황금동),766-7695,32,0,31,1,
110,2월호텔수성점,수성구 청수로67(중동),765-0600,30,0,30,0,일반호텔
111,2월호텔황금점,수성구 동대구로 165(황금동),764-2200,31,0,26,5,일반호텔
112,탑모텔,수성구 상화로 131-10(두산동),768-5050,39,0,35,4,
113,에스모텔,수성구 청수로24길 29(두산동),761-8472,31,0,28,3,
114,오렌지모텔,수성구 용학로25길 14(두산동),781-2525,32,1,30,1,
115,다이아나모텔,수성구 청수로26길 20(두산동),761-0757,29,0,29,0,
116,꾸띠모텔,수성구 상화로 131-7(두산동),765-9753,33,0,33,0,
117,캐롯모텔,수성구 동대구로25길 11(황금동),765-3888,29,0,29,0,
118,줄리엣,수성구 청수로 26길 10(두산동),765-9194,35,0,35,0,
119,피크니크호텔,수성구 지범로 28(두산동),766-3773,29,0,28,1,
120,다옴호텔,수성구 청수로25길 26(황금동),768-5551,32,1,31,0,일반호텔
121,수호텔,달서구 호산동로 84-12(호산동),586-8488,31,0,29,2,
122,폭스모텔,달서구 달서대로95길 40(호산동),588-5990,36,0,36,0,
123,터치모텔,달서구 달서대로 95길 23(호산동),593-3398,36,0,28,8,
124,호텔김,달서구 성서공단로11길 38-5(호림동),584-5550,36,0,32,4,일반호텔
125,허브모텔,달서구 성서공단로11길 38-3(호림동),583-6789,36,0,34,2,
126,초콜릿모텔,달서구 성서공단로11길 12-2(호림동),593-5537,28,0,18,10,
127,로그인호텔,달서구 성서공단로11길 6-16(호림동),593-3360,30,0,30,0,
128,마니또,달서구 달서대로91길 20(호산동),591-3337,32,0,28,4,
129,10번가모텔,달서구 성서공단로11길 64-5(호산동),592-3616,35,0,3,32,
130,엠플러스,,,,,,,
131,몸부림모텔,달서구 달서대로 85길 6-15(호림동),593-2662,40,0,35,5,
132,에이치호텔,달서구 달서대로95길 26(호산동),587-2977,31,0,31,0,
133,케이투(k2)모텔,달서구 달구벌대로304길 22(감삼동),559-5095,36,0,33,3,
134,뉴욕모텔,달서구 달구벌대로308길 42(감삼동),568-6006,40,0,37,3,
135,펀호텔,달서구 대명천로 203(본리동),527-5511,44,0,42,2,일반호텔
136,엑스와이엠(XYM),달서구 대명천로43길 10(본리동),526-9198,32,0,28,4,
137,브리앙모텔,달서구 와룡로10길 35(본동),567-7782,27,0,27,0,
138,노리호텔,달서구 성서공단로15길 59(호산동),582-8500,36,0,32,4,
139,지지(GG)모텔,달서구 달서대로91길 6(호산동),593-7766,43,2,37,4,
140,탑호텔,달서구 이곡동로 7(이곡동),593-1125,94,0,79,15,일반호텔
141,3f10(쓰리에프10),달서구 성서공단로 15길 18(호림동),591-9500,32,0,32,0,
142,더블류(W)모텔,달서구 성서공단로 11길 38-11(호림동),582-3131,36,0,32,4,
143,칸모텔,달서구 와룡로33길 11(감삼동),522-5561,33,0,3,30,
144,라임,달서구 대명천로41길 50(본리동),527-9941,27,0,26,1,
145,히든호텔,달서구 대명천로41길 53(본리동),527-2955,30,0,28,2,
146,호텔피아노,달서구 와룡로 10길 29,526-0090,31,0,31,0,일반호텔
147,힐링모텔,달서구 성서공단로 11길 44-9(호림동),584-8258,30,1,28,1,
148,제이비프리미엄호텔,달서구 성서공단로 11길 6-14(호림동),585-6922,34,0,28,6,일반호텔
149,2월호텔성서점,달서구 달서대로 95길 3(호산동),584-7833,40,0,38,2,
150,호텔5월,달서구 구마로 11길 78(본리동),521-9560,33,0,32,1,
151,쇼모텔,달서구 달구벌대로 1774(두류동),621-8181,45,0,42,3,
152,투데이모텔,달서구 학산로 19길 89(본동),525-7002,29,0,29,0,
153,프렌치호텔,달서구 달서대로91길 22(호산동),588-7219,36,0,32,4,일반호텔
154,히어호텔,달서구 와룡료17길 18(본리동),567-2266,39,0,36,3,일반호텔
155,호텔더디종,달성군 현풍면 테크노공원로 31,263-1515,47,0,40,7,일반호텔
156,호텔히든,,,,,,,
157,모텔이너스,달성군 옥포면 비슬로457길 3,614-5688,21,0,20,1,
158,라온모텔,달성군 가창면 가창로 71,767-7750,21,0,20,1,
159,V원모텔,달성군 가창면 우록길 93,767-9822,20,0,20,0,
160,SKY 모텔,달성군 논공읍 논공중앙로34길 42,615-3987,26,0,24,2,
161,상록산장여관,달성군 논공읍 비슬로 1054,615-1331,25,0,25,0,
162,스타모텔,달성군 논공읍 비슬로 1648,616-8100,29,0,28,1,
163,뉴욕모텔,달성군 논공읍 용호로 26-1,615-1221,30,0,28,2,
164,뉴그랜드모텔,달성군 하빈면 하목정길 51,581-3767,35,0,34,1,
165,엘레강스,달성군 현풍면 현풍동로 196,611-4533,32,0,24,8,
166,㈜호텔리움,달성군 옥포면 비슬로 2312-6,615-0345,33,0,30,3,
